33.894533 130.841242  6 07:45:00.299 1013 -8 
33.894530 130.841237  6 07:45:01.303 1008 -7 
33.894525 130.841235  6 07:45:02.301 1005 -6 
33.894527 130.841235  6 07:45:03.297 1006 -5 
33.894527 130.841235  6 07:45:04.293 1011 -4 
33.894530 130.841240  6 07:45:05.295 1014 -3 
33.894535 130.841240  6 07:45:06.299 1013 -2 
33.894542 130.841242  6 07:45:07.303 1008 -1 
33.894553 130.841247  7 07:45:08.302 1004 0 
33.894558 130.841252  7 07:45:09.296 1006 1 
33.894567 130.841257  7 07:45:10.293 1011 -8 
33.894565 130.841257  7 07:45:11.294 1015 -7 
33.894565 130.841260  7 07:45:12.300 1013 -6 
33.894577 130.841253  7 07:45:13.303 1008 -5 
33.894582 130.841253  8 07:45:14.302 1004 -4 
33.894580 130.841262  8 07:45:15.296 1006 -3 
33.894583 130.841273  8 07:45:16.293 1011 -2 
33.894588 130.841273  8 07:45:17.295 1014 -1 
33.894595 130.841263  8 07:45:18.299 1013 0 
33.894603 130.841238  8 07:45:19.303 1008 1 
33.894628 130.841228  7 07:45:20.301 1005 -8 
33.894650 130.841228  7 07:45:21.297 1006 -7 
33.894655 130.841225  7 07:45:22.293 1011 -6 
33.894650 130.841228  6 07:45:23.295 1014 -5 
33.894652 130.841208  7 07:45:24.299 1013 -4 
33.894670 130.841167  7 07:45:25.303 1008 -3 
33.894678 130.841147  6 07:45:26.301 1005 -2 
33.894685 130.841150  7 07:45:27.297 1006 -1 
33.894693 130.841158  8 07:45:28.293 1011 0 
33.894700 130.841157  8 07:45:29.295 1014 1 
33.894697 130.841173  8 07:45:30.299 1013 -8 
33.894700 130.841175  7 07:45:31.303 1008 -7 
33.894698 130.841178  7 07:45:32.301 1005 -6 
33.894693 130.841173  7 07:45:33.297 1006 -5 
33.894687 130.841178  8 07:45:34.294 1010 -4 
33.894687 130.841188  8 07:45:35.294 1014 -3 
33.894687 130.841205  6 07:45:36.298 1014 -2 
33.894685 130.841220  6 07:45:37.303 1009 -1 
33.894683 130.841237  6 07:45:38.302 1005 0 
33.894693 130.841233  6 07:45:39.298 1005 1 
33.894698 130.841242  8 07:45:40.293 1010 -8 
33.894712 130.841253  8 07:45:41.294 1014 -7 
33.894717 130.841265  7 07:45:42.299 1013 -6 
33.894723 130.841263  7 07:45:43.302 1009 -5 
33.894732 130.841263  8 07:45:44.302 1005 -4 
33.894738 130.841273  8 07:45:45.297 1006 -3 
33.894750 130.841293  8 07:45:46.294 1010 -2 
33.894763 130.841292  8 07:45:47.294 1014 -1 
33.894772 130.841298  8 07:45:48.299 1013 0 
33.894782 130.841308  8 07:45:49.303 1008 1 
33.894793 130.841317  8 07:45:50.301 1005 -8 
33.894800 130.841322  8 07:45:51.297 1006 -7 
33.894803 130.841332  8 07:45:52.293 1011 -6 
33.894815 130.841333  8 07:45:53.295 1014 -5 
33.894837 130.841342  8 07:45:54.299 1013 -4 
33.894850 130.841345  8 07:45:55.303 1008 -3 
33.894852 130.841343  8 07:45:56.302 1004 -2 
33.894858 130.841345  7 07:45:57.296 1006 -1 
33.894855 130.841345  6 07:45:58.292 1012 0 
33.894853 130.841335  8 07:45:59.295 1015 1 
33.894852 130.841320  8 07:46:00.301 1012 -8 
33.894857 130.841305  8 07:46:01.303 1007 -7 
33.894858 130.841298  7 07:46:02.301 1004 -6 
